Individual,Location
1,1
2,0
3,0
4,1
5,1
6,1
7,2
8,1
9,4
10,4
11,4
12,0
13,1
14,4
15,4
16,4
17,1
18,1
19,1
20,2
21,1
22,0
23,2
24,4
25,2
26,4
27,0
28,0
29,1
30,0
31,0
32,1
33,1
34,1
35,0
36,4
37,4
38,4
39,2
40,4
41,2
42,4
43,4
44,4
45,4
46,4
47,4
48,4
49,4
50,4
51,4
52,2
53,2
54,0
55,4
56,4
57,0
58,4
59,2
60,2
61,2
62,2
63,1
64,2
65,2
66,2
67,3
68,3
69,3
70,2
71,3
72,3
73,0
74,2
75,0
76,2
77,2
78,2
79,2
80,1
81,4
82,4
83,0
84,1
85,0
86,1
87,0
88,5
89,1
90,1
91,4
92,4
93,4
94,4
95,4
96,4
97,4
98,4
99,4
100,4
101,4
102,4
103,4
104,4
105,4
106,4
107,4
108,4
109,4
110,4
111,0
112,2
113,6
114,6
115,2
116,2
117,2
118,4
119,4
120,1
121,4
122,2
123,0
124,0
125,4
126,2
127,4
128,4
129,4
130,0
131,1
132,4
133,2
134,2
135,4
136,2
137,3
138,3
139,4
140,4
141,1
142,2
143,2
144,7
145,3
146,3
147,3
148,3
149,3
150,3
151,3
152,4
153,3
154,3
155,4
156,3
157,3
158,0
159,3
160,3
161,3
162,3
163,3
164,3
165,3
166,0
167,3
168,3
169,3
170,3
171,3
172,3
173,3
174,3
175,3
176,3
177,3
178,3
179,3
180,4
181,7
182,7
183,7
184,3
185,3
186,4
187,3
188,4
189,3
190,4
191,3
192,3
193,4
194,3
195,3
196,3
197,3
198,3
199,3
200,3
201,3
202,3
203,3
204,3
205,3
206,3
207,3
208,3
209,3
210,3
211,3
212,4
213,4
214,3
215,3
216,3
217,3
218,3
219,5
220,3
221,3
222,3
223,3
224,0
225,3
226,3
227,3
228,3
229,3
230,3
231,3
232,3
233,3
234,3
235,3
236,4
237,4
238,3
239,3
240,3
241,3
242,4
243,3
244,3
245,3
246,3
247,3
248,3
249,3
250,3
251,3
252,3
253,4
254,3
255,3
256,4
257,4
258,4
259,3
260,3
261,3
262,3
263,4
264,3
265,3
266,3
267,7
268,4
269,3
270,0
271,3
272,4
273,3
274,4
275,3
276,3
277,4
278,4
279,2
280,4
281,2
282,2
283,2
284,2
285,2
286,2
287,0
288,2
289,2
290,2
291,2
292,2
293,2
294,2
295,2
296,2
297,2
298,4
299,2
300,3
301,4
302,4
303,2
304,4
305,4
306,4
307,0
308,4
309,3
310,2
311,2
312,2
313,1
314,2
315,2
316,4
317,2
318,4
319,4
320,4
321,2
322,2
323,2
324,2
325,0
326,7
327,4
328,7
329,2
330,0
331,4
332,4
333,3
334,7
335,4
336,3
337,3
338,1
339,3
340,4
341,4
342,4
343,1
344,2
345,4
346,3
347,4
348,0
349,4
350,4
351,3
352,3
353,1
354,4
355,4
356,4
357,0
358,2
359,2
360,3
361,0
362,1
363,3
364,0
365,1
366,2
367,2
368,0
369,4
370,2
371,0
372,7
373,7
374,2
375,4
376,4
377,1
378,1
379,1
380,0
381,1
382,1
383,0
384,1
385,2
386,0
387,3
388,3
389,0
390,1
391,1
392,3
393,4
394,3
395,7
396,0
397,0
398,4
399,2
400,2
401,1
402,0
403,1
404,2
405,1
406,2
407,4
408,1
409,0
410,0
411,0
412,4
413,2
414,2
415,2
416,3
417,4
418,1
419,4
420,2
421,2
422,4
423,0
424,1
425,3
426,3
427,1
428,0
429,0
430,4
431,4
432,0
433,0
434,3
435,1
436,7
437,0
438,0
439,2
440,2
441,4
442,0
443,4
444,2
445,1
446,0
447,2
448,2
449,2
450,0
451,1
452,1
453,4
454,1
455,2
456,0
457,0
458,3
459,4
460,3
461,7
462,3
463,4
464,4
465,4
466,0
467,7
468,0
469,4
470,2
471,3
472,1
473,0
474,4
475,1
476,1
477,1
478,4
479,0
480,0
481,4
482,1
483,2
484,4
485,0
486,0
487,1
488,1
489,3
490,1
491,7
492,1
493,4
494,4
495,4
496,4
497,6
498,0
499,2
500,0
501,4
502,0
503,4
504,3
505,7
506,7
507,7
508,3
509,3
510,0
511,0
512,0
513,0
514,3
515,3
516,3
517,3
518,4
519,5
520,0
521,1
522,2
523,0
524,4
525,0
526,0
527,2
528,1
529,1
530,7
531,7
532,4
533,0
534,0
535,0
536,7
537,2
538,2
539,4
540,1
541,7
542,4
543,4
544,4
545,4
546,0
547,3
548,4
549,3
550,3
551,0
552,4
553,3
554,3
555,3
556,3
557,3
558,3
559,0
560,4
561,2
